2021-01-02_13:48:15 regensensor_aussen reread
2021-01-02_13:48:16 regensensor_aussen reading01User: 0.5
2021-01-02_13:53:25 regensensor_aussen reread
2021-01-02_13:53:25 regensensor_aussen reading01User: 0.5
2021-01-02_14:48:22 regensensor_aussen reread
2021-01-02_14:48:23 regensensor_aussen reading01User: 0.5
2021-01-02_15:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_15:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_16:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_16:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_17:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_17:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_18:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_18:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_19:21:36 regensensor_aussen reading01User: 0.5
2021-01-02_19:21:36 regensensor_aussen reading01User: 0.5
2021-01-02_19:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_19:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_20:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_20:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_21:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_21:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_22:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_22:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_23:59:55 regensensor_aussen reading01User: 0.5
2021-01-02_23:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_00:54:56 regensensor_aussen reading01User: 0.5
2021-01-03_00:54:56 regensensor_aussen reading01User: 0.5
2021-01-03_00:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_00:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_01:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_01:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_02:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_02:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_03:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_03:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_04:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_04:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_05:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_05:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_06:28:16 regensensor_aussen reading01User: 0.5
2021-01-03_06:28:16 regensensor_aussen reading01User: 0.5
2021-01-03_06:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_06:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_07:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_07:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_08:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_08:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_09:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_09:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_10:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_10:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_11:43:14 regensensor_aussen reading01User: 0.5
2021-01-03_11:43:14 regensensor_aussen reading01User: 0.5
2021-01-03_11:46:44 regensensor_aussen reading01User: 0.5
2021-01-03_11:46:44 regensensor_aussen reading01User: 0.5
2021-01-03_11:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_11:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_12:15:23 regensensor_aussen reading01User: 0.5
2021-01-03_12:15:23 regensensor_aussen reading01User: 0.5
2021-01-03_12:48:17 regensensor_aussen reading01User: 0.5
2021-01-03_12:48:17 regensensor_aussen reading01User: 0.5
2021-01-03_12:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_12:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_13:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_13:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_14:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_14:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_15:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_15:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_16:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_16:59:55 regensensor_aussen reading01User: 0.5
2021-01-03_17:59:55 regensensor_aussen reading01User: 0.5
